"filename", "language", "Markdown", "Shell Script", "Makefile", "Ini", "Python", "CMake", "Log", "JavaScript", "TypeScript", "C++", "JSON", "C", "CMake Cache", "comment", "blank", "total"
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest_main.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest_main.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CTestTestfile.cmake", "CMake", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"/home/ljj/Nav_USV_ws/build/gtest/googletest/Makefile", "Makefile", 0, 0, -156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -63, -66, -285
"/home/ljj/Nav_USV_ws/build/gtest/googletest/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, -8, -45
"/home/ljj/Nav_USV_ws/build/nav_core/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"/home/ljj/Nav_USV_ws/build/nav_core/CMakeFiles/_nav_core_generate_messages_check_deps_sbus_channels_msg.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -6, -19
"/home/ljj/Nav_USV_ws/build/nav_core/CMakeFiles/_nav_core_generate_messages_check_deps_sbus_channels_msg.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"/home/ljj/Nav_USV_ws/build/nav_core/CMakeFiles/_nav_core_generate_messages_check_deps_sbus_channels_msg.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_cpp.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -6, -19
